epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,10819.3,1.16943,1.05592,1.43026,0.73317,0.46482,0.51185,0.25476,1.76813,1.30686,1.73873,0.00139412,0.00139412,0.00139412
155,10886.3,1.21146,1.04832,1.45586,0.72226,0.48033,0.53079,0.26892,1.72735,1.31323,1.68808,0.00139016,0.00139016,0.00139016
156,10953,1.18118,1.0174,1.44206,0.72013,0.48203,0.519,0.25937,1.76158,1.29382,1.73908,0.0013862,0.0013862,0.0013862
157,11019.6,1.17788,1.03443,1.43941,0.7244,0.47861,0.52334,0.26646,1.68899,1.27739,1.68606,0.00138224,0.00138224,0.00138224
158,11086.1,1.18597,1.00801,1.42456,0.72504,0.4758,0.53021,0.26599,1.74591,1.29075,1.72274,0.00137828,0.00137828,0.00137828
159,11152.4,1.18647,1.07147,1.4495,0.70885,0.47402,0.52708,0.26435,1.72591,1.30107,1.71329,0.00137432,0.00137432,0.00137432
160,11219,1.20874,1.02025,1.43877,0.71699,0.48086,0.53299,0.26617,1.76495,1.30385,1.72562,0.00137036,0.00137036,0.00137036
161,11285.3,1.18937,0.98982,1.4243,0.72693,0.48746,0.53495,0.26652,1.73824,1.26702,1.70056,0.0013664,0.0013664,0.0013664
162,11351.7,1.16029,0.98404,1.41757,0.7381,0.47054,0.52636,0.26992,1.70533,1.3028,1.68378,0.00136244,0.00136244,0.00136244
163,11418,1.1698,0.99092,1.41994,0.73206,0.47683,0.52,0.25937,1.71261,1.28106,1.69748,0.00135848,0.00135848,0.00135848
164,11484.5,1.14292,0.98967,1.40456,0.71641,0.47355,0.52336,0.26954,1.68841,1.35672,1.7131,0.00135452,0.00135452,0.00135452
165,11550.9,1.16389,1.00749,1.42683,0.71518,0.47355,0.52678,0.26498,1.73275,1.34837,1.71366,0.00135056,0.00135056,0.00135056
166,11617.2,1.15782,1.00811,1.40283,0.70785,0.48096,0.52452,0.26039,1.71572,1.33541,1.72446,0.0013466,0.0013466,0.0013466
167,11683.8,1.17445,0.99965,1.41917,0.71594,0.48105,0.52869,0.26097,1.76003,1.31029,1.7482,0.00134264,0.00134264,0.00134264
168,11750.5,1.16553,1.00886,1.41992,0.70451,0.47899,0.52519,0.2609,1.78446,1.32675,1.77108,0.00133868,0.00133868,0.00133868
169,11816.9,1.17526,1.0216,1.43607,0.72678,0.47927,0.52856,0.26833,1.69402,1.2769,1.69173,0.00133472,0.00133472,0.00133472
170,11883.5,1.15093,0.97771,1.39325,0.70963,0.46717,0.51198,0.25081,1.81324,1.35347,1.7961,0.00133076,0.00133076,0.00133076
171,11950.2,1.17027,1.0024,1.41741,0.73711,0.47439,0.52891,0.26773,1.73367,1.26998,1.72001,0.0013268,0.0013268,0.0013268
172,12016.6,1.16704,0.99819,1.40814,0.72931,0.4742,0.52386,0.26234,1.75774,1.26917,1.71209,0.00132284,0.00132284,0.00132284
173,12082.9,1.16387,0.97597,1.40525,0.70759,0.48265,0.52681,0.26731,1.7069,1.31562,1.70428,0.00131888,0.00131888,0.00131888
174,12149.2,1.14161,0.98968,1.41158,0.70774,0.47617,0.52478,0.2624,1.72678,1.33949,1.71271,0.00131492,0.00131492,0.00131492
175,12215.9,1.15463,1.00733,1.41092,0.71033,0.47439,0.52089,0.26329,1.72899,1.32502,1.73245,0.00131096,0.00131096,0.00131096
176,12282.2,1.14435,0.9698,1.41436,0.73378,0.46857,0.52923,0.27025,1.71825,1.32125,1.70892,0.001307,0.001307,0.001307
